Bitvectors: 1000
min length: 10
max length: 150

Last login: Thu Jun  6 15:22:39 on ttys003
echo -n '\0033]0;/Users/windfury/RiderProjects/BitvectorChecker/BitvectorChecker/bin/Debug/net7.0/BitvectorChecker\007' ; clear ; exec '/Users/windfury/Library/Caches/JetBrains/Rider2023.3/tmp/terminalLauncher2.sh'
windfury@wlan-cl-kit-cs-172-17-10-226 ~ % echo -n '\0033]0;/Users/windfury/RiderProjects/BitvectorChecker/BitvectorChecker/bin/Debug/net7.0/BitvectorChecker\007' ; clear ; exec '/Users/windfury/Library/Caches/JetBrains/Rider2023.3/tmp/terminalLauncher2.sh'

Bitvector: 1110110100010100001111111111001101111101100010011001011101000010110110100100011000001000001010001010100111111011101110111100011001
Bitvector: 1011000110011110100101001
Bitvector: 100001000100010111001011011110011111101001011
Bitvector: 01100101010101111001100000010100001101001101111001101010000100101110
Bitvector: 1000010010000000000001001110000110101110011111111100000001111000111110101011011110000010100101000010111101000011100011001111011001001111101
Bitvector: 0000000100110000000111100011011111001010000111110000000111111011011111011011001101000101101001011100111110010110000
Bitvector: 001111001111111010010000000001111000000110001100100010001111110101000011110110100011010000110000000111
Bitvector: 010110100101111111101000011111110100101010010101001010110100010111110000010101101011000110010
Bitvector: 1111001010100010110000100
Bitvector: 10011100011010011110111100110001110001111010101001000100001
Bitvector: 0110011101000101111001110110111101011100100101101110010000110100110110011010100000000000110
Bitvector: 11000001111011101010101100100101
Bitvector: 10101101110010010111101011111011111000000110
Bitvector: 100000111100010100011100101010110110
Bitvector: 011011100001001011011110111111000011010001001001100000110000100001100100010101110000101111000000011101100110111110011010110100010010100110111
Bitvector: 011001111000001001001001010110101101100111001100111000110111010100111101001110111100111101000010110110101100111011110000111110111101101
Bitvector: 1111110010001101010100010111101000101000011001110001100000011011010110101
Bitvector: 00101111111000101011000
Bitvector: 010110001011010000011001101011000101011100110010110110000000
Bitvector: 0010100011010100
Bitvector: 111110110110001011000001001110101101100001100100101010100010011101000111100011
Bitvector: 001000000001011100010111100101000100
Bitvector: 001001000100110111100000011001000011110110010100101
Bitvector: 0000001000110001001111000010011100010101000110101100100000100100000001110010011000010100010000010101001110010101101111000100101001011101101000
Bitvector: 011001111110110100010001011111000000111101010000001011110011011000111000100110100011
Bitvector: 0110000111001101110001111111010110100010101100001010011
Bitvector: 0101111000010000011011110111101100101110000000111100000110111110110110101101100011010101011010111001101000001110000000111001100111110110001
Bitvector: 0111100100110110010111000
Bitvector: 1111110111001111000000010101001100110111011111110000100001110101100110011100110100110110011011001100000000100100101101001011
Bitvector: 10111000011010010101011111101000111001110101100011010010110111011111110111100100000111101010000100011011011101011000110111000111110010
Bitvector: 0001111111101
Bitvector: 110010010001000111010100001111100010110110100
Bitvector: 000000100000100110011101100111001110111100010000000011011001100110000011101001011110000011100010100111010110011011011000010101010101001111101100
